//ICES_parameter_mapping,,,,,,,,,,,,,,,,,,,,
//<subject>ICES:LOCAL:Pressure</subject><object>ICES:P01::PRESPR01</object><units>ICES:P06::UPDB</units>,,,,,,,,,,,,,,,,,,,,
//<subject>ICES:LOCAL:Temperature</subject><object>ICES:P01::TEMPPR01</object><units>ICES:P06::UPAA</units>,,,,,,,,,,,,,,,,,,,,
//<subject>ICES:LOCAL:Practical Salinity</subject><object>ICES:P01::PSALPR01</object><units>ICES:P06::UUUU</units>,,,,,,,,,,,,,,,,,,,,
//<subject>ICES:LOCAL:Dissolved Oxygen</subject><object>ICES:P01::DOXYZZXX</object><units>ICES:P06::UMLL</units>,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],Platform Code [C17],Device Category Code [L05],Distributor Code [EDMO],Custodian Code [EDMO],Originator Code [EDMO],Project Code [EDMERP],Pressure [dbar],QV:ODV:Pressure [dbar],Temperature [degC],QV:ODV:Temperature [degC],Practical Salinity [dmnless],QV:ODV:Practical Salinity [dmnless],Dissolved Oxygen [ml/l],QV:ODV:Dissolved Oxygen [ml/l]
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,1,0,16.8614,0,6.4662,0,6.4412,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,2,0,16.8547,0,6.4660,0,6.4475,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,3,0,16.8531,0,6.4660,0,6.4295,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,4,0,16.8527,0,6.4661,0,6.4232,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,5,0,16.8526,0,6.4662,0,6.4322,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,6,0,16.8503,0,6.4662,0,6.4539,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,7,0,16.8491,0,6.4662,0,6.4434,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,8,0,16.8493,0,6.4662,0,6.4301,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,9,0,16.8469,0,6.4664,0,6.4461,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,10,0,16.8394,0,6.4672,0,6.4740,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,11,0,16.8396,0,6.4672,0,6.4585,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,12,0,16.8438,0,6.4665,0,6.4711,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,13,0,16.8451,0,6.4663,0,6.4518,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,14,0,16.8461,0,6.4662,0,6.4817,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,15,0,16.8469,0,6.4661,0,6.4856,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,16,0,16.8475,0,6.4661,0,6.4934,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,17,0,16.8477,0,6.4661,0,6.5033,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,18,0,16.8470,0,6.4662,0,6.5099,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,19,0,16.8463,0,6.4663,0,6.5037,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,20,0,16.8464,0,6.4663,0,6.5024,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,21,0,16.8384,0,6.4673,0,6.5126,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,22,0,16.8275,0,6.4687,0,6.5047,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,23,0,16.8247,0,6.4690,0,6.4805,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,24,0,16.8214,0,6.4693,0,6.5155,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,25,0,16.8138,0,6.4699,0,6.5185,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,26,0,16.8024,0,6.4709,0,6.5022,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,27,0,16.7978,0,6.4713,0,6.5041,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,28,0,16.7948,0,6.4714,0,6.4951,0
20239001,1,C,2023-09-20T20:09Z,59.712333,23.923667,62,34A1,130,5013,5013,5013,11272,29,0,16.7880,0,6.4712,0,6.4761,0
